REF,ChangeKey,Unnamed: 0,Company Name,Location,Country,Space_Code,,Launch Date,Datum,Vehicle Type,Detail,Status Rocket, Rocket,Status Mission
0,SpaceX44050,0,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,8/7/2020,"Fri Aug 07, 2020 05:12 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | Starlink V1 L9 & BlackSky,StatusActive,50,Success
1,CASC44049,1,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",China,Site,,8/6/2020,"Thu Aug 06, 2020 04:01 UTC",Long March 2D ,Long March 2D | Gaofen-9 04 & Q-SAT,StatusActive,29.75,Success
2,SpaceX44047,2,SpaceX,"Pad A, Boca Chica, Texas, USA",USA,Pad,,8/4/2020,"Tue Aug 04, 2020 23:57 UTC",Starship Prototype ,Starship Prototype | 150 Meter Hop,StatusActive,,Success
3,Roscosmos44042,3,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,7/30/2020,"Thu Jul 30, 2020 21:25 UTC",Proton-M/Briz-M ,Proton-M/Briz-M | Ekspress-80 & Ekspress-103,StatusActive,65,Success
4,ULA44042,4,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,7/30/2020,"Thu Jul 30, 2020 11:50 UTC",Atlas V 541 ,Atlas V 541 | Perseverance,StatusActive,145,Success
5,CASC44037,5,CASC,"LC-9, Taiyuan Satellite Launch Center, China",China,LC-9,,7/25/2020,"Sat Jul 25, 2020 03:13 UTC",Long March 4B ,"Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",StatusActive,64.68,Success
6,Roscosmos44035,6,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,7/23/2020,"Thu Jul 23, 2020 14:26 UTC",Soyuz 2.1a ,Soyuz 2.1a | Progress MS-15,StatusActive,48.5,Success
7,CASC44035,7,CASC,"LC-101, Wenchang Satellite Launch Center, China",China,LC-101,,7/23/2020,"Thu Jul 23, 2020 04:41 UTC",Long March 5 ,Long March 5 | Tianwen-1,StatusActive,,Success
8,SpaceX44032,8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,7/20/2020,"Mon Jul 20, 2020 21:30 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | ANASIS-II,StatusActive,50,Success
9,JAXA44031,9,JAXA,"LA-Y1, Tanegashima Space Center, Japan",Japan,LA-Y1,,7/19/2020,"Sun Jul 19, 2020 21:58 UTC",H-IIA 202 ,H-IIA 202 | Hope Mars Mission,StatusActive,90,Success
10,Northrop44027,10,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",USA,LP-0B,,7/15/2020,"Wed Jul 15, 2020 13:46 UTC",Minotaur IV ,Minotaur IV | NROL-129,StatusActive,46,Success
11,ExPace44022,11,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",China,Site,,7/10/2020,"Fri Jul 10, 2020 04:17 UTC",Kuaizhou 11 ,"Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",StatusActive,28.3,Failure
12,CASC44021,12,CASC,"LC-3, Xichang Satellite Launch Center, China",China,LC-3,,7/9/2020,"Thu Jul 09, 2020 12:11 UTC",Long March 3B/E ,Long March 3B/E | Apstar-6D,StatusActive,29.15,Success
13,IAI44018,13,IAI,"Pad 1, Palmachim Airbase, Israel",Israel,Pad,,7/6/2020,"Mon Jul 06, 2020 01:00 UTC",Shavit-2 ,Shavit-2 | Ofek-16,StatusActive,,Success
14,CASC44016,14,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",China,Site,,7/4/2020,"Sat Jul 04, 2020 23:44 UTC",Long March 2D ,Long March 2D | Shiyan-6 02,StatusActive,29.75,Success
15,Rocket Lab44016,15,Rocket Lab,"Rocket Lab LC-1A, M?Âhia Peninsula, New Zealand",Zealand,Rocket,,7/4/2020,"Sat Jul 04, 2020 21:19 UTC",Electron/Curie ,Electron/Curie | Pics Or It Didn??Â¦t Happen,StatusActive,7.5,Failure
16,CASC44015,16,CASC,"LC-9, Taiyuan Satellite Launch Center, China",China,LC-9,,7/3/2020,"Fri Jul 03, 2020 03:10 UTC",Long March 4B ,Long March 4B | Gaofen Duomo & BY-02,StatusActive,64.68,Success
17,SpaceX44012,17,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,6/30/2020,"Tue Jun 30, 2020 20:10 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | GPS III SV03,StatusActive,50,Success
18,CASC44005,18,CASC,"LC-2, Xichang Satellite Launch Center, China",China,LC-2,,6/23/2020,"Tue Jun 23, 2020 01:43 UTC",Long March 3B/E ,Long March 3B/E | Beidou-3 G3,StatusActive,29.15,Success
19,CASC43999,19,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",China,Site,,6/17/2020,"Wed Jun 17, 2020 07:19 UTC",Long March 2D ,"Long March 2D | Gaofen-9 03, Pixing III A & HEAD-5",StatusActive,29.75,Success
20,SpaceX43995,20,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,6/13/2020,"Sat Jun 13, 2020 09:21 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | Starlink V1 L8 & SkySat 16 to 18,StatusActive,50,Success
21,Rocket Lab43995,21,Rocket Lab,"Rocket Lab LC-1A, M?Âhia Peninsula, New Zealand",Zealand,Rocket,,6/13/2020,"Sat Jun 13, 2020 05:12 UTC",Electron/Curie ,Electron/Curie | Don't stop me now!,StatusActive,7.5,Success
22,CASC43992,22,CASC,"LC-9, Taiyuan Satellite Launch Center, China",China,LC-9,,6/10/2020,"Wed Jun 10, 2020 18:31 UTC",Long March 2C ,Long March 2C | Haiyang-1D,StatusActive,30.8,Success
23,SpaceX43986,23,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,6/4/2020,"Thu Jun 04, 2020 01:25 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | Starlink V1 L7,StatusActive,50,Success
24,CASC43982,24,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",China,Site,,5/31/2020,"Sun May 31, 2020 08:53 UTC",Long March 2D ,Long March 2D | Gaofen-9-02 & HEAD-4,StatusActive,29.75,Success
25,SpaceX43981,25,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,5/30/2020,"Sat May 30, 2020 19:22 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | SpaceX Demo-2,StatusActive,50,Success
26,CASC43980,26,CASC,"Xichang Satellite Launch Center, China",China,Xichang,,5/29/2020,"Fri May 29, 2020 20:13 UTC",Long March 11 ,Long March 11 | XJS-G and XJS-H,StatusActive,5.3,Success
27,Virgin Orbit43976,27,Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA",USA,Cosmic,,5/25/2020,"Mon May 25, 2020 19:50 UTC",LauncherOne ,LauncherOne | Demo Flight,StatusActive,12,Failure
28,VKS RF43973,28,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,Site,,5/22/2020,"Fri May 22, 2020 07:31 UTC",Soyuz 2.1b/Fregat-M ,Soyuz 2.1b/Fregat-M | Cosmos 2546,StatusActive,,Success
